Date,Close,High,Low,Open,Volume
,CVS,CVS,CVS,CVS,CVS
2021-03-08,60.90948486328125,61.597293753920205,60.10278910511051,60.535857081455,9007400
2021-03-09,60.48489761352539,62.03034882804333,60.44243756406028,61.43594052800168,8697300
2021-03-10,61.73313903808594,62.06430667985457,60.39997516574991,60.89248321501894,7402200
2021-03-11,61.435951232910156,62.353034041804236,61.41047779019006,61.94543952279739,5536100
2021-03-12,62.769107818603516,62.87950136173581,61.56331749965579,61.72465792208341,6286700
2021-03-15,63.660736083984375,63.86453014050539,62.48041885228514,62.743653111895455,7139500
2021-03-16,63.74563217163086,63.89847929153444,62.964416438121205,63.686191984918054,5756300
2021-03-17,62.845523834228516,63.16819814523127,61.885981248824066,62.61624995974527,7926700
2021-03-18,63.2446403503418,63.93244918451188,62.67570541695336,62.845539157701694,6860600
2021-03-19,62.140743255615234,63.388993707381,62.132249949016256,63.261620022375254,10427000
2021-03-22,62.38700485229492,62.47191849305388,61.435955231706274,61.91997011037739,6819600
2021-03-23,61.053836822509766,62.361527540280896,60.96892318701712,62.08130671250956,7192300
2021-03-24,62.16621398925781,63.09179001339084,60.88399684543805,61.24064444361923,7555500
2021-03-25,62.89647674560547,63.049323850443265,61.38499230803938,62.200174707676354,5506800
2021-03-26,64.50137329101562,64.53534003687541,62.93894185243172,63.14273584909606,9051200
2021-03-29,64.79010009765625,65.27411498371389,64.11927131198063,64.2806052883361,6135800
2021-03-30,64.60326385498047,65.22313905824268,64.3060629713278,64.67968416285113,5733000
2021-03-31,63.88149642944336,64.67969226285732,63.85601651180218,64.50137171033417,6320500
2021-04-01,63.09181213378906,63.94096165656686,62.76064433818546,63.881521449112284,6965300
2021-04-05,63.720149993896484,64.02584419178594,62.94742119409438,62.98138793591472,6063800
2021-04-06,63.363521575927734,63.83904309938476,63.1597210843077,63.83904309938476,6746500
2021-04-07,63.253143310546875,63.61827784816097,62.95594228655782,63.57582426101764,5137400
2021-04-08,62.658714294433594,63.14272903332473,62.50586719381042,63.09178215928155,5180100
2021-04-09,62.89647674560547,63.00686380190739,62.48888230654007,62.837036564751536,4662700
2021-04-12,63.22764205932617,63.62674317825515,63.04932152334604,63.11725500709854,4233400
2021-04-13,62.85401916503906,63.134239947993564,62.24263720017573,62.88798590950271,3934100
2021-04-14,63.754119873046875,63.83903349252951,62.82005710175006,62.837037234249024,3968700
2021-04-15,64.34851837158203,64.53533221191233,63.380488906682835,63.90696368593243,5037700
2021-04-16,64.4334487915039,64.70517631780959,64.16172126519822,64.66272273843089,8513900
2021-04-19,64.32304382324219,65.14671948037599,64.03433624117116,64.68817819253367,6666900
2021-04-20,64.45894622802734,64.7051938994216,63.97492475932943,64.30609904804301,7660800
2021-04-21,65.1297378540039,65.75811289569812,64.66270970400808,64.72214988595279,6222800
2021-04-22,65.1126480102539,65.33487730285655,64.30920815923166,65.22375939605327,5641900
2021-04-23,65.00154113769531,65.3177837657757,64.33485321359736,64.89897225991001,4196800
2021-04-26,64.7451171875,65.21521635633884,64.6169077304527,65.12973903763806,5617600
2021-04-27,64.1981201171875,64.70240257572583,64.07845965173752,64.51436935930892,3766500
2021-04-28,64.44598388671875,64.89898510819516,64.29213380008471,64.45453292514443,3581200
2021-04-29,65.27505493164062,65.37761729361846,64.67674622908291,64.77931511206543,5086300
2021-04-30,65.30068969726562,65.92463241365695,65.15538868342152,65.33487932187673,6153400
2021-05-03,66.40328979492188,66.85629097173543,65.55711114135936,65.81353010080346,9558600
2021-05-04,69.3349838256836,69.53156604349631,67.30929230032162,67.52297259333851,19634100
2021-05-05,70.97602844238281,71.19825771517564,68.73665720670938,69.65975739738423,15365700
2021-05-06,71.5401611328125,71.58289980079714,69.88200645529248,70.63415875638377,9412600
2021-05-07,72.74530792236328,72.95043914519752,71.54869716732291,71.72818780242837,8206300
2021-05-10,73.37782287597656,74.51460377892876,73.0188414922041,73.17269158825032,7926700
2021-05-11,72.11283874511719,73.51458116158996,71.8393281887568,73.10431206654634,7935100
2021-05-12,71.26663208007812,72.9333418829884,71.14697166604397,72.3179417416679,6437300
2021-05-13,72.02735137939453,72.47181004728759,71.04442723360303,71.4632387883058,4612100
2021-05-14,72.07862854003906,72.42906078364493,71.8051180617354,72.3350409453839,5738800
2021-05-17,72.27522277832031,72.82224382610094,71.89060084569512,71.89060084569512,4472900
2021-05-18,75.73683166503906,75.77102128906428,73.48036864740703,73.9077291662162,17674500
2021-05-19,76.24967193603516,77.00182418988952,74.93340060103642,75.64282071059502,20077300
2021-05-20,76.13001251220703,76.7539618204783,75.52316127868559,76.25822198881126,9058700
2021-05-21,76.76249694824219,77.09583764272526,76.16419480968392,76.3180448625995,8361500
2021-05-24,76.67704010009766,77.44629050467056,76.6172098753534,76.97619122381894,5639700
2021-05-25,75.81376647949219,76.77105655398123,75.74539374067557,76.6770367019776,5894700
2021-05-26,74.63424682617188,75.9847077407031,72.88206594786196,75.77102746388505,14402300
2021-05-27,73.86499786376953,75.28383805763129,73.6085854395447,75.02741911240179,8985300
2021-05-28,73.88209533691406,74.61715601818682,73.83080763568262,74.08722657882599,6810000
2021-06-01,73.39491271972656,73.99321495889069,72.88207477643692,73.93338473497428,6109800
2021-06-02,73.49746704101562,73.91628508356051,73.25814617156405,73.7795265747284,4105000
2021-06-03,74.41202545166016,74.61716323441557,73.21542099061304,73.49747403014258,4679900
2021-06-04,73.90773010253906,74.45475105186456,73.67695176769618,74.41201239104059,4606700
2021-06-07,73.78807830810547,74.47185131423824,73.66841786900711,74.06158881475955,3952400
2021-06-08,73.34363555908203,73.60860360681693,72.7624247913178,73.55731589250996,4270300
2021-06-09,72.6085433959961,73.71968325932056,72.50598105359924,73.30941432672283,5782500
2021-06-10,73.07866668701172,73.55730849905865,72.89917600749412,73.08721572537131,4690400
2021-06-11,73.05301666259766,73.61712922240288,72.85642793173834,73.3778083472731,2697900
