Date,Close,High,Low,Open,Volume
,AMGN,AMGN,AMGN,AMGN,AMGN
2021-03-08,194.72283935546875,198.47523457553038,193.77405540019757,194.95362816691315,3101000
2021-03-09,195.73146057128906,199.26160984358344,195.55195526604015,196.5947633148574,3057300
2021-03-10,196.56057739257812,199.57787856667767,195.75710106087342,197.8427171450601,2309800
2021-03-11,197.5948486328125,199.9796361073324,195.55197295097352,197.15892577007074,2244000
2021-03-12,196.90248107910156,197.24437980468582,195.4750336837567,196.79991406994634,1752600
2021-03-15,201.6891326904297,201.86008204576098,196.42380907358773,196.59475842891902,2911000
2021-03-16,205.41586303710938,206.86895195871756,202.25324162569362,203.53538121110057,3386300
2021-03-17,208.7921905517578,210.18544022721483,204.47565073504956,205.40733583391963,3255500
2021-03-18,208.9203643798828,211.2453118080807,205.56970791985594,205.56970791985594,3063100
2021-03-19,210.21961975097656,211.46756171031407,206.53560723206527,210.0486704056343,12589900
2021-03-22,213.42498779296875,213.49337014568337,207.15959656376887,207.15959656376887,2059800
2021-03-23,209.4503173828125,213.6899313597329,209.330651542955,213.6813884578139,2604700
2021-03-24,209.81788635253906,211.45902358155078,208.40753791837878,209.41614820848628,2237500
2021-03-25,210.484619140625,211.58725364022146,209.39907044784977,211.1598737028801,2707600
2021-03-26,216.13455200195312,216.49354953366046,209.87770433979952,210.2452578163134,2638900
2021-03-29,217.9295654296875,219.33137098694942,214.92935016951506,214.99773251896679,2488100
2021-03-30,213.47628784179688,217.1175603685067,212.68991028853281,216.40810807703343,1979000
2021-03-31,212.67279052734375,213.64721620868684,211.43339138637404,213.03178808967016,3571900
2021-04-01,212.98049926757812,213.6899514715757,210.6213668986678,213.45916267205854,2176900
2021-04-05,215.4165802001953,215.93798422834502,212.8864853154197,212.8864853154197,2230500
2021-04-06,212.92066955566406,215.8610322864517,212.1855756123173,215.1772348864449,2040100
2021-04-07,212.08297729492188,213.87797792177886,211.2111317722526,212.12571788938956,1583500
2021-04-08,211.0231170654297,213.2454848617047,210.25382537077272,212.92068498594315,1633600
2021-04-09,212.7924346923828,212.9206564789588,210.10848963013484,211.73254096190692,1368600
2021-04-12,212.78390502929688,213.68994832337208,211.80092344144973,212.42490748122555,1722000
2021-04-13,213.64720153808594,213.9891132710614,211.20258807835722,212.96339111473404,1766000
2021-04-14,213.3651580810547,214.97211083668682,212.8352111265806,213.67287216101403,1753800
2021-04-15,218.0748748779297,219.67327155177568,214.11733277711988,214.63019388105104,2366300
2021-04-16,218.57064819335938,221.22895186329325,217.68169064057747,219.19461923538879,2768700
2021-04-19,218.79287719726562,218.9125300105118,215.9465253661367,216.12603067120614,2345100
2021-04-20,221.50245666503906,222.54523853015613,217.82697404695344,217.82697404695344,1579300
2021-04-21,221.19471740722656,223.09228501281234,220.31431594656087,222.58797991254718,2173600
2021-04-22,218.00650024414062,220.93833328345866,216.81838458582695,220.13485694540765,3370700
2021-04-23,219.69891357421875,220.64771053044385,216.82692008237422,217.94665334998805,2426900
2021-04-26,218.40826416015625,219.4596152375058,217.4680230063629,219.3741340262149,1782700
2021-04-27,218.0748748779297,219.27153339696952,216.90384506722677,218.12615837980286,2184900
2021-04-28,202.3302001953125,208.53575171540768,199.8086483238331,206.44159279117196,7550800
2021-04-29,200.62066650390625,201.72330084179808,197.4751438442218,200.92838053536886,4053400
2021-04-30,204.83462524414062,205.70648383798596,200.18473013376368,200.24456957649952,3420900
